Question,Answer Options,Correct Answer,Dish,Origin,Question type
¿En qué país es tradicionalmente popular el plato Bizcocho de Moya?,"['Perú', 'España', 'Argentina', 'Venezuela']",España,Bizcocho de Moya,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato almojábana?,"['España', 'Perú', 'Colombia', 'México']",España,almojábana,España,country of traditional dish
¿Cuál es un ingrediente principal de pijama en España?,"['cereal', 'almeja', 'Fruta en almíbar', 'fiambre']",Fruta en almíbar,pijama,España,main ingredient
¿En qué país es tradicionalmente popular el plato pijama?,"['Argentina', 'Venezuela', 'Perú', 'España']",España,pijama,España,country of traditional dish
¿Cuál es un ingrediente principal de Esqueixada en España?,"['sándwich', 'fruta confitada', 'mote', 'tomate']",tomate,Esqueixada,España,main ingredient
¿En qué país es tradicionalmente popular el plato Esqueixada?,"['España', 'México', 'Venezuela', 'Perú']",España,Esqueixada,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato calçotada?,"['Venezuela', 'Argentina', 'España', 'México']",España,calçotada,España,country of traditional dish
¿Cuál es un ingrediente principal de Bica en España?,"['azafrán', 'tajada', 'aceite de semillas', 'mantequilla']",mantequilla,Bica,España,main ingredient
¿En qué país es tradicionalmente popular el plato Bica?,"['México', 'España', 'Colombia', 'Argentina']",España,Bica,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Conejo en salmorejo?,"['Perú', 'Argentina', 'España', 'Venezuela']",España,Conejo en salmorejo,España,country of traditional dish
¿Cuál es un ingrediente principal de Paparajotes en España?,"['aceite de semillas', 'canela', 'carne de cerdo', 'chuño']",canela,Paparajotes,España,main ingredient
¿En qué país es tradicionalmente popular el plato Paparajotes?,"['Colombia', 'Perú', 'México', 'España']",España,Paparajotes,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Tortilla de rodilla?,"['Venezuela', 'Colombia', 'España', 'Perú']",España,Tortilla de rodilla,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato roscos del Santo?,"['Colombia', 'Venezuela', 'España', 'Perú']",España,roscos del Santo,España,country of traditional dish
¿Cuál es un ingrediente principal de patatas bravas en España?,"['papa', 'berenjena', 'Mató', 'Bolillo (pan)']",papa,patatas bravas,España,main ingredient
¿En qué país es tradicionalmente popular el plato patatas bravas?,"['Venezuela', 'España', 'Perú', 'Colombia']",España,patatas bravas,España,country of traditional dish
¿Cuál es un ingrediente principal de Cocada en España?,"['panza de cerdo', 'jamón', 'panela', 'coco rallado']",coco rallado,Cocada,España,main ingredient
¿En qué país es tradicionalmente popular el plato Cocada?,"['Venezuela', 'Argentina', 'Perú', 'España']",España,Cocada,España,country of traditional dish
¿Cuál es un ingrediente principal de Intxaursaltsa en España?,"['legumbre', 'masa de maíz', 'Teuthida', 'azúcar']",azúcar,Intxaursaltsa,España,main ingredient
¿En qué país es tradicionalmente popular el plato Intxaursaltsa?,"['México', 'Perú', 'Venezuela', 'España']",España,Intxaursaltsa,España,country of traditional dish
¿Cuál es un ingrediente principal de Arroz con acelgas en España?,"['papa', 'harina de maíz', 'panela', 'verde oliva']",papa,Arroz con acelgas,España,main ingredient
¿En qué país es tradicionalmente popular el plato Arroz con acelgas?,"['Argentina', 'Venezuela', 'España', 'México']",España,Arroz con acelgas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Bienmesabe canario?,"['España', 'Venezuela', 'Perú', 'Colombia']",España,Bienmesabe canario,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato cremeschnitte?,"['España', 'México', 'Perú', 'Argentina']",España,cremeschnitte,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pan de cristal?,"['Argentina', 'España', 'México', 'Colombia']",España,Pan de cristal,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Roscos de vino?,"['México', 'Venezuela', 'Colombia', 'España']",España,Roscos de vino,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Fardelejos?,"['España', 'Venezuela', 'México', 'Perú']",España,Fardelejos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Tigretón?,"['México', 'Venezuela', 'España', 'Argentina']",España,Tigretón,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato bocadillo de calamares?,"['Colombia', 'Venezuela', 'Argentina', 'España']",España,bocadillo de calamares,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Panquemado?,"['Colombia', 'México', 'España', 'Perú']",España,Panquemado,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Cemita?,"['Argentina', 'España', 'Colombia', 'México']",España,Cemita,España,country of traditional dish
¿Cuál es un ingrediente principal de bacalao a la llauna en España?,"['Cocción a fuego lento', 'semilla de anís', 'raíz de mandioca', 'ajo']",ajo,bacalao a la llauna,España,main ingredient
¿En qué país es tradicionalmente popular el plato bacalao a la llauna?,"['Perú', 'España', 'Colombia', 'Argentina']",España,bacalao a la llauna,España,country of traditional dish
¿Cuál es un ingrediente principal de Angulas a la bilbaína en España?,"['huevo', 'tortilla', 'embutido', 'aceite de oliva']",aceite de oliva,Angulas a la bilbaína,España,main ingredient
¿En qué país es tradicionalmente popular el plato Angulas a la bilbaína?,"['Argentina', 'Perú', 'España', 'Venezuela']",España,Angulas a la bilbaína,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Puchero?,"['México', 'España', 'Perú', 'Argentina']",España,Puchero,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Montadito?,"['Argentina', 'Venezuela', 'México', 'España']",España,Montadito,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato gazpacho de segadores?,"['España', 'Argentina', 'Colombia', 'Perú']",España,gazpacho de segadores,España,country of traditional dish
¿Cuál es un ingrediente principal de Bacalao a la vizcaína en España?,"['Salsa vizcaína', 'cereza', 'jugo de limón', 'salchicha']",Salsa vizcaína,Bacalao a la vizcaína,España,main ingredient
¿En qué país es tradicionalmente popular el plato Bacalao a la vizcaína?,"['España', 'México', 'Argentina', 'Perú']",España,Bacalao a la vizcaína,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pan de Calatrava?,"['México', 'Perú', 'Venezuela', 'España']",España,Pan de Calatrava,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pitufo (Málaga)?,"['Perú', 'Venezuela', 'México', 'España']",España,Pitufo (Málaga),España,country of traditional dish
¿Cuál es un ingrediente principal de callos en España?,"['panela', 'agua', 'tinta de calamar', 'tripas']",tripas,callos,España,main ingredient
¿En qué país es tradicionalmente popular el plato callos?,"['México', 'Perú', 'España', 'Venezuela']",España,callos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Llonguet?,"['España', 'México', 'Perú', 'Colombia']",España,Llonguet,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Turrón de Alicante?,"['España', 'Perú', 'Colombia', 'México']",España,Turrón de Alicante,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato culeca?,"['México', 'España', 'Venezuela', 'Colombia']",España,culeca,España,country of traditional dish
¿Cuál es un ingrediente principal de Rossejat en España?,"['arroz', 'Mató', 'pan blanco', 'chuño']",arroz,Rossejat,España,main ingredient
¿En qué país es tradicionalmente popular el plato Rossejat?,"['Argentina', 'Colombia', 'España', 'Perú']",España,Rossejat,España,country of traditional dish
¿Cuál es un ingrediente principal de Ollada en España?,"['coco rallado', 'verdura', 'pato', 'papas fritas']",verdura,Ollada,España,main ingredient
¿En qué país es tradicionalmente popular el plato Ollada?,"['México', 'España', 'Colombia', 'Venezuela']",España,Ollada,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Bollo suizo?,"['España', 'Perú', 'Venezuela', 'México']",España,Bollo suizo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato merluza a la gallega?,"['Argentina', 'Venezuela', 'Perú', 'España']",España,merluza a la gallega,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato ajo colorao?,"['Colombia', 'España', 'Perú', 'Argentina']",España,ajo colorao,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato torta de sardinas?,"['Argentina', 'Venezuela', 'España', 'Colombia']",España,torta de sardinas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Espineta con caracoles?,"['España', 'Venezuela', 'Colombia', 'Perú']",España,Espineta con caracoles,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Aguamiel (postre)?,"['Argentina', 'Perú', 'España', 'Venezuela']",España,Aguamiel (postre),España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pan bazo?,"['España', 'Venezuela', 'México', 'Argentina']",España,Pan bazo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pan gallego?,"['Venezuela', 'Argentina', 'España', 'Colombia']",España,Pan gallego,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato patatas en ajopollo?,"['España', 'Colombia', 'México', 'Venezuela']",España,patatas en ajopollo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Cortadillo?,"['España', 'Venezuela', 'Perú', 'México']",España,Cortadillo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Caracoles a la llauna?,"['Perú', 'Colombia', 'España', 'Venezuela']",España,Caracoles a la llauna,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Ensalada ilustrada?,"['España', 'Venezuela', 'Argentina', 'Perú']",España,Ensalada ilustrada,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Bartolo?,"['Colombia', 'Venezuela', 'Argentina', 'España']",España,Bartolo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Mortirigüelo?,"['Perú', 'España', 'Colombia', 'México']",España,Mortirigüelo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Sacristán (dulce)?,"['México', 'España', 'Venezuela', 'Argentina']",España,Sacristán (dulce),España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Canutillos de Bilbao?,"['Argentina', 'España', 'Colombia', 'Venezuela']",España,Canutillos de Bilbao,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Trinxat?,"['Colombia', 'España', 'México', 'Venezuela']",España,Trinxat,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Arroz con costra?,"['Argentina', 'México', 'Colombia', 'España']",España,Arroz con costra,España,country of traditional dish
¿Cuál es un ingrediente principal de potaje con hojas de cardo en España?,"['leche de vaca', 'cebolla', 'papa', 'pan']",papa,potaje con hojas de cardo,España,main ingredient
¿En qué país es tradicionalmente popular el plato potaje con hojas de cardo?,"['España', 'Colombia', 'Argentina', 'México']",España,potaje con hojas de cardo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato moje?,"['Colombia', 'España', 'México', 'Argentina']",España,moje,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato caldo moreno?,"['Perú', 'México', 'Colombia', 'España']",España,caldo moreno,España,country of traditional dish
¿Cuál es un ingrediente principal de orelletes en España?,"['galleta de chocolate', 'salsa criolla', 'agua potable', 'huevo duro']",agua potable,orelletes,España,main ingredient
¿En qué país es tradicionalmente popular el plato orelletes?,"['Argentina', 'España', 'Perú', 'Venezuela']",España,orelletes,España,country of traditional dish
¿Cuál es un ingrediente principal de Panchineta en España?,"['sándwich', 'pasa', 'azúcar', 'pato']",azúcar,Panchineta,España,main ingredient
¿En qué país es tradicionalmente popular el plato Panchineta?,"['Perú', 'México', 'Argentina', 'España']",España,Panchineta,España,country of traditional dish
¿Cuál es un ingrediente principal de Torta parda en España?,"['Compango', 'crema de leche', 'Cabello de ángel', 'especia']",Cabello de ángel,Torta parda,España,main ingredient
¿En qué país es tradicionalmente popular el plato Torta parda?,"['México', 'Perú', 'Venezuela', 'España']",España,Torta parda,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Frisuelos?,"['Venezuela', 'México', 'España', 'Perú']",España,Frisuelos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Piña?,"['España', 'Colombia', 'Argentina', 'Perú']",España,Piña,España,country of traditional dish
¿Cuál es un ingrediente principal de natillas en España?,"['huevo', 'relleno', 'Fubá', 'queso']",huevo,natillas,España,main ingredient
¿En qué país es tradicionalmente popular el plato natillas?,"['México', 'España', 'Colombia', 'Venezuela']",España,natillas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Galletes d'oli?,"['España', 'México', 'Argentina', 'Perú']",España,Galletes d'oli,España,country of traditional dish
¿Cuál es un ingrediente principal de empanada gallega en España?,"['sacarosa', 'merengue', 'agua', 'carne de pavo']",agua,empanada gallega,España,main ingredient
¿En qué país es tradicionalmente popular el plato empanada gallega?,"['España', 'Venezuela', 'Argentina', 'México']",España,empanada gallega,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Sopa de tomillo?,"['México', 'Perú', 'España', 'Venezuela']",España,Sopa de tomillo,España,country of traditional dish
¿Cuál es un ingrediente principal de pincho moruno en España?,"['carne de cordero', 'tajada', 'piel de cerdo', 'mayonesa']",carne de cordero,pincho moruno,España,main ingredient
¿En qué país es tradicionalmente popular el plato pincho moruno?,"['Venezuela', 'Colombia', 'España', 'Perú']",España,pincho moruno,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Boquerones en vinagre?,"['España', 'Colombia', 'Argentina', 'México']",España,Boquerones en vinagre,España,country of traditional dish
¿Cuál es un ingrediente principal de Coca de San Juan en España?,"['Piñón', 'alcaparra', 'ají', 'lomo']",Piñón,Coca de San Juan,España,main ingredient
¿En qué país es tradicionalmente popular el plato Coca de San Juan?,"['Argentina', 'España', 'Perú', 'México']",España,Coca de San Juan,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Sapillos?,"['España', 'Perú', 'Argentina', 'Venezuela']",España,Sapillos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato olla de trigo?,"['Venezuela', 'España', 'Perú', 'México']",España,olla de trigo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Coca de albaricoque?,"['México', 'Colombia', 'Argentina', 'España']",España,Coca de albaricoque,España,country of traditional dish
¿Cuál es un ingrediente principal de Jamón serrano en España?,"['pasta de almendra', 'jamón', 'hielo', 'vino']",jamón,Jamón serrano,España,main ingredient
¿En qué país es tradicionalmente popular el plato Jamón serrano?,"['España', 'Venezuela', 'Colombia', 'Perú']",España,Jamón serrano,España,country of traditional dish
¿Cuál es un ingrediente principal de Buñuelo de viento en España?,"['chile en polvo', 'caldo de pescado', 'papas fritas', 'crema pastelera']",crema pastelera,Buñuelo de viento,España,main ingredient
¿En qué país es tradicionalmente popular el plato Buñuelo de viento?,"['Perú', 'Venezuela', 'España', 'Argentina']",España,Buñuelo de viento,España,country of traditional dish
¿Cuál es un ingrediente principal de Sobao en España?,"['relleno', 'ropa vieja', 'tamal', 'azúcar']",azúcar,Sobao,España,main ingredient
¿En qué país es tradicionalmente popular el plato Sobao?,"['España', 'México', 'Colombia', 'Venezuela']",España,Sobao,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Jallulla?,"['Venezuela', 'España', 'Colombia', 'Argentina']",España,Jallulla,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Coca de maíz?,"['Perú', 'España', 'Colombia', 'Venezuela']",España,Coca de maíz,España,country of traditional dish
¿Cuál es un ingrediente principal de ochío en España?,"['mariscos', 'pollo', 'manteca de cerdo', 'pimentón']",pimentón,ochío,España,main ingredient
¿En qué país es tradicionalmente popular el plato ochío?,"['Venezuela', 'España', 'Colombia', 'México']",España,ochío,España,country of traditional dish
¿Cuál es un ingrediente principal de Tumbet en España?,"['carne de pollo', 'Fruta en almíbar', 'berenjena', 'salsa picante']",berenjena,Tumbet,España,main ingredient
¿En qué país es tradicionalmente popular el plato Tumbet?,"['México', 'Colombia', 'Argentina', 'España']",España,Tumbet,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Torta imperial?,"['Argentina', 'México', 'Perú', 'España']",España,Torta imperial,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Coca de llanda?,"['Argentina', 'Venezuela', 'México', 'España']",España,Coca de llanda,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Coca bamba?,"['México', 'España', 'Colombia', 'Venezuela']",España,Coca bamba,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Rollos de San Antón?,"['España', 'Venezuela', 'Argentina', 'Perú']",España,Rollos de San Antón,España,country of traditional dish
¿Cuál es un ingrediente principal de Chistorra en España?,"['Habas', 'camarón', 'dulce de membrillo', 'sal']",sal,Chistorra,España,main ingredient
¿En qué país es tradicionalmente popular el plato Chistorra?,"['España', 'Venezuela', 'Perú', 'Colombia']",España,Chistorra,España,country of traditional dish
¿Cuál es un ingrediente principal de chinito en España?,"['chorizo', 'frijoles refritos', 'falsa crema pastelera', 'agua']",falsa crema pastelera,chinito,España,main ingredient
¿En qué país es tradicionalmente popular el plato chinito?,"['México', 'España', 'Argentina', 'Colombia']",España,chinito,España,country of traditional dish
¿Cuál es un ingrediente principal de Adoquín del Pilar en España?,"['caramelo', 'alcaparra', 'escabeche', 'leche cruda']",caramelo,Adoquín del Pilar,España,main ingredient
¿En qué país es tradicionalmente popular el plato Adoquín del Pilar?,"['Argentina', 'Perú', 'Venezuela', 'España']",España,Adoquín del Pilar,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Poleá?,"['Argentina', 'México', 'Perú', 'España']",España,Poleá,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Empanadico?,"['España', 'Colombia', 'Venezuela', 'Perú']",España,Empanadico,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Turrolate?,"['Colombia', 'España', 'Venezuela', 'Perú']",España,Turrolate,España,country of traditional dish
¿Cuál es un ingrediente principal de Roscos de Semana Santa en España?,"['maicena', 'fiambre', 'producto del mar', 'harina de trigo']",harina de trigo,Roscos de Semana Santa,España,main ingredient
¿En qué país es tradicionalmente popular el plato Roscos de Semana Santa?,"['Colombia', 'Argentina', 'México', 'España']",España,Roscos de Semana Santa,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Campero malagueño?,"['Perú', 'Argentina', 'España', 'Venezuela']",España,Campero malagueño,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato rosquillas tontas y listas?,"['España', 'Venezuela', 'Colombia', 'México']",España,rosquillas tontas y listas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato sopa moruna?,"['Argentina', 'España', 'Venezuela', 'Colombia']",España,sopa moruna,España,country of traditional dish
¿Cuál es un ingrediente principal de Zarzuela de mariscos en España?,"['pescado', 'huevo duro', 'pan', 'piña']",pescado,Zarzuela de mariscos,España,main ingredient
¿En qué país es tradicionalmente popular el plato Zarzuela de mariscos?,"['España', 'Perú', 'Colombia', 'México']",España,Zarzuela de mariscos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Cagá de gato?,"['España', 'Colombia', 'Argentina', 'México']",España,Cagá de gato,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Tarta de Puentedeume?,"['Venezuela', 'Argentina', 'España', 'Colombia']",España,Tarta de Puentedeume,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Cochinillo de Segovia?,"['Colombia', 'Venezuela', 'España', 'Perú']",España,Cochinillo de Segovia,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato potaje conquense?,"['Venezuela', 'España', 'Argentina', 'Colombia']",España,potaje conquense,España,country of traditional dish
¿Cuál es un ingrediente principal de Miguelitos en España?,"['Almendra', 'brioche', 'crema pastelera', 'leche']",crema pastelera,Miguelitos,España,main ingredient
¿En qué país es tradicionalmente popular el plato Miguelitos?,"['Argentina', 'Colombia', 'España', 'Perú']",España,Miguelitos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Caragolada?,"['México', 'España', 'Venezuela', 'Colombia']",España,Caragolada,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato bartolillo?,"['México', 'España', 'Colombia', 'Argentina']",España,bartolillo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato habichuelas con perdiz?,"['Venezuela', 'Colombia', 'España', 'Perú']",España,habichuelas con perdiz,España,country of traditional dish
¿Cuál es un ingrediente principal de crema catalana en España?,"['leche', 'queso', 'azúcar', 'morrón']",azúcar,crema catalana,España,main ingredient
¿En qué país es tradicionalmente popular el plato crema catalana?,"['Argentina', 'Venezuela', 'Perú', 'España']",España,crema catalana,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Jamón de Guijuelo?,"['España', 'Perú', 'Colombia', 'México']",España,Jamón de Guijuelo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Huesitos?,"['Argentina', 'Perú', 'España', 'Venezuela']",España,Huesitos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato rosquilla de Alhama?,"['Argentina', 'Colombia', 'España', 'Venezuela']",España,rosquilla de Alhama,España,country of traditional dish
¿Cuál es un ingrediente principal de Marañuela en España?,"['levadura de panadería', 'harina', 'Quesos de Colombia', 'Llobarro']",harina,Marañuela,España,main ingredient
¿En qué país es tradicionalmente popular el plato Marañuela?,"['España', 'Perú', 'Argentina', 'Colombia']",España,Marañuela,España,country of traditional dish
¿Cuál es un ingrediente principal de buñuelo en España?,"['huevo', 'Queso de año', 'zanahoria', 'pescado']",huevo,buñuelo,España,main ingredient
¿En qué país es tradicionalmente popular el plato buñuelo?,"['España', 'Perú', 'Colombia', 'Argentina']",España,buñuelo,España,country of traditional dish
¿Cuál es un ingrediente principal de Gilda (pincho) en España?,"['sal', 'hortaliza', 'oliva', 'leche condensada']",oliva,Gilda (pincho),España,main ingredient
¿En qué país es tradicionalmente popular el plato Gilda (pincho)?,"['España', 'Argentina', 'Colombia', 'Venezuela']",España,Gilda (pincho),España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Volante de San Cristóbal?,"['Argentina', 'España', 'México', 'Venezuela']",España,Volante de San Cristóbal,España,country of traditional dish
¿Cuál es un ingrediente principal de Librico de Yecla en España?,"['salsa criolla', 'manjar blanco (Hispanidad)', 'oblea', 'chile mirasol']",oblea,Librico de Yecla,España,main ingredient
¿En qué país es tradicionalmente popular el plato Librico de Yecla?,"['España', 'Argentina', 'Venezuela', 'Perú']",España,Librico de Yecla,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato tomate frito?,"['España', 'Argentina', 'Perú', 'Venezuela']",España,tomate frito,España,country of traditional dish
¿Cuál es un ingrediente principal de Arnadí en España?,"['calabaza', 'arcilla', 'Calado', 'Quesos de Colombia']",calabaza,Arnadí,España,main ingredient
¿En qué país es tradicionalmente popular el plato Arnadí?,"['Colombia', 'Venezuela', 'España', 'Perú']",España,Arnadí,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato oblea?,"['México', 'Venezuela', 'España', 'Perú']",España,oblea,España,country of traditional dish
¿Cuál es un ingrediente principal de panchón en España?,"['pancha', 'cebolla roja', 'jamón del país', 'masa']",pancha,panchón,España,main ingredient
¿En qué país es tradicionalmente popular el plato panchón?,"['Perú', 'España', 'Venezuela', 'México']",España,panchón,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato potaje carmelitano?,"['Colombia', 'España', 'México', 'Venezuela']",España,potaje carmelitano,España,country of traditional dish
¿Cuál es un ingrediente principal de Lacón con grelos en España?,"['maíz morado', 'zanahoria', 'Salsa vizcaína', 'chorizo']",chorizo,Lacón con grelos,España,main ingredient
¿En qué país es tradicionalmente popular el plato Lacón con grelos?,"['Perú', 'México', 'Argentina', 'España']",España,Lacón con grelos,España,country of traditional dish
¿Cuál es un ingrediente principal de Judías de El Barco de Ávila en España?,"['legumbre', 'pargo rojo', 'azúcar glas', 'aceite vegetal']",legumbre,Judías de El Barco de Ávila,España,main ingredient
¿En qué país es tradicionalmente popular el plato Judías de El Barco de Ávila?,"['Colombia', 'Argentina', 'Venezuela', 'España']",España,Judías de El Barco de Ávila,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato jamón de jabugo?,"['Venezuela', 'México', 'España', 'Perú']",España,jamón de jabugo,España,country of traditional dish
